product_id,product_name,category,sub_category,price,stock_qty,supplier,last_updated
PROD000001,Product Y9668,Office Supplies,Tech,217.99,2616,MegaDistrib,2024-06-18
PROD000002,Product T9238,Toys,Educational,2487.32,3040,TrustCo,2024-03-15
PROD000003,Product A2375,Home & Garden,Tools,2423.55,1195,QuickShip,2023-12-22
PROD000004,Product C5053,Clothing,Jackets,3791.04,4641,PrimeMfg,2024-07-23
PROD000005,Product R2046,Home & Garden,Decor,2473.04,510,MegaDistrib,2023-12-15
PROD000006,Product Z483,Clothing,Sportswear,2088.43,4382,ProVendor,2023-11-11
PROD000007,Product W3213,Food & Beverage,Snacks,1058.62,611,GlobalSource,2023-02-08
PROD000008,Product H626,Electronics,Cameras,3514.56,1671,ProVendor,2024-03-29
PROD000009,Product P5202,Automotive,Electronics,2998.85,3039,NorthSupply,2024-09-05
PROD000010,Product K9523,Toys,RC,2655.66,4360,TrustCo,2023-02-24
PROD000011,Product W6098,Sports,Outdoor,4337.69,513,NorthSupply,2023-09-03
PROD000012,Product J7841,Sports,Winter,1621.57,2122,QuickShip,2023-04-13
PROD000013,Product C3975,Clothing,Accessories,1897.27,694,TrustCo,2023-05-10
PROD000014,Product P3837,Books,Comics,1404.84,2750,SupplierOne,2023-09-05
PROD000015,Product W6800,Office Supplies,Filing,1736.05,1781,TrustCo,2024-06-06
PROD000016,Product H9844,Health & Beauty,Makeup,1975.54,1129,GlobalSource,2024-09-15
PROD000017,Product I2096,Clothing,Sportswear,1940.49,4268,SupplierOne,2024-08-20
PROD000018,Product G5266,Food & Beverage,Canned,523.25,1450,SupplierOne,2024-03-16
PROD000019,Product R8377,Sports,Winter,45.41,2451,EastTrade,2024-07-04
PROD000020,Product Z2077,Automotive,Electronics,448.96,2038,GlobalSource,2023-08-24
PROD000021,Product O4791,Electronics,TVs,4013.3,535,TrustCo,2024-08-16
PROD000022,Product L2242,Automotive,Tools,1006.73,2100,PrimeMfg,2023-11-15
PROD000023,Product O1654,Office Supplies,Tech,3205.75,3504,GlobalSource,2024-11-29
PROD000024,Product J6798,Clothing,Jackets,2529.41,2620,SupplierOne,2024-03-15
PROD000025,Product K7843,Health & Beauty,Vitamins,1685.45,516,NorthSupply,2023-02-14
PROD000026,Product Z7673,Office Supplies,Mailing,939.08,2283,TrustCo,2023-03-16
PROD000027,Product U9592,Food & Beverage,Frozen,2091.77,2487,PrimeMfg,2024-01-04
PROD000028,Product M8159,Electronics,Phones,2095.93,1108,ProVendor,2023-12-17
PROD000029,Product F8806,Electronics,Tablets,615.41,926,SupplierOne,2023-12-08
PROD000030,Product E2156,Food & Beverage,Beverages,3963.0,2611,QuickShip,2023-03-04
PROD000031,Product S4823,Automotive,Fluids,5.84,3244,PrimeMfg,2024-03-06
PROD000032,Product Q6613,Automotive,Tires,1314.09,1478,QuickShip,2024-07-21
PROD000033,Product W2916,Office Supplies,Pens,1543.6,1148,NorthSupply,2024-06-30
PROD000034,Product Y4253,Automotive,Tires,2507.21,965,NorthSupply,2023-10-01
PROD000035,Product B5700,Home & Garden,Tools,3336.68,4797,TrustCo,2023-01-02
PROD000036,Product E5476,Food & Beverage,Bakery,3348.98,967,QuickShip,2023-08-21
PROD000037,Product N2195,Home & Garden,Furniture,4181.38,231,SupplierOne,2023-11-25
PROD000038,Product Z3445,Home & Garden,Decor,1799.55,3694,FastGoods,2023-10-11
PROD000039,Product E5697,Automotive,Electronics,1274.54,1831,FastGoods,2024-04-23
PROD000040,Product C9928,Health & Beauty,Vitamins,1453.26,2589,PrimeMfg,2024-07-22
PROD000041,Product J3449,Sports,Winter,225.38,2426,SupplierOne,2024-09-10
PROD000042,Product J1311,Electronics,Cameras,128.49,4281,SupplierOne,2024-11-03
PROD000043,Product Z557,Health & Beauty,Haircare,1103.73,4804,MegaDistrib,2023-10-30
PROD000044,Product I8310,Office Supplies,Furniture,2539.81,1895,SupplierOne,2024-05-27
PROD000045,Product Z3262,Clothing,Accessories,1069.53,3084,PrimeMfg,2024-01-26
PROD000046,Product E8972,Books,Science,498.4,1421,FastGoods,2024-06-10
PROD000047,Product A8695,Food & Beverage,Snacks,4675.32,1444,SupplierOne,2024-06-10
PROD000048,Product E5951,Home & Garden,Bedding,3829.89,1814,FastGoods,2023-05-19
PROD000049,Product D7557,Electronics,Tablets,2471.24,513,PrimeMfg,2024-09-28
PROD000050,Product R1189,Home & Garden,Decor,3065.74,1295,MegaDistrib,2024-09-15
PROD000051,Product T3899,Home & Garden,Lighting,1954.45,1027,FastGoods,2024-01-10
PROD000052,Product I7070,Home & Garden,Bedding,4596.6,2657,GlobalSource,2023-12-05
PROD000053,Product U8960,Sports,Fitness,660.92,2790,ProVendor,2024-11-17
PROD000054,Product E3149,Books,History,3959.21,3633,FastGoods,2023-11-23
PROD000055,Product I7391,Books,Non-Fiction,3045.49,3076,GlobalSource,2023-09-05
PROD000056,Product J9754,Office Supplies,Filing,3351.44,1508,PrimeMfg,2024-01-05
PROD000057,Product A1417,Health & Beauty,Skincare,101.7,4224,PrimeMfg,2023-03-21
PROD000058,Product B2474,Clothing,Jackets,1647.81,3380,NorthSupply,2024-11-22
PROD000059,Product B6417,Office Supplies,Mailing,1439.69,2359,TrustCo,2023-04-07
PROD000060,Product R6572,Clothing,Accessories,1469.78,3848,TrustCo,2023-04-23
PROD000061,Product Y758,Food & Beverage,Frozen,552.87,1700,PrimeMfg,2023-12-06
PROD000062,Product A1467,Automotive,Accessories,2715.05,3528,MegaDistrib,2024-04-21
PROD000063,Product O1131,Electronics,Tablets,4997.3,184,QuickShip,2023-05-10
PROD000064,Product V6101,Toys,Board Games,782.26,3316,GlobalSource,2024-06-21
PROD000065,Product M8993,Electronics,TVs,2877.79,3755,ProVendor,2024-07-04
PROD000066,Product M5767,Books,Self-Help,3658.2,1490,TrustCo,2024-04-29
PROD000067,Product H2512,Clothing,Jackets,4969.98,228,PrimeMfg,2024-05-27
PROD000068,Product I5308,Sports,Water Sports,3493.5,2511,NorthSupply,2024-10-03
PROD000069,Product Y9309,Clothing,Shirts,4050.56,1915,FastGoods,2023-09-03
PROD000070,Product E2548,Books,History,3012.86,2757,QuickShip,2024-04-13
PROD000071,Product Y2246,Office Supplies,Furniture,493.67,2430,TrustCo,2024-01-01
PROD000072,Product W1860,Health & Beauty,Skincare,3527.23,1568,NorthSupply,2024-07-16
PROD000073,Product S1507,Toys,Board Games,600.65,2092,FastGoods,2023-06-18
PROD000074,Product C5696,Sports,Team Sports,1986.66,516,ProVendor,2023-08-15
PROD000075,Product F4593,Food & Beverage,Canned,4000.34,1626,ProVendor,2024-12-05
PROD000076,Product C4273,Food & Beverage,Snacks,540.55,1674,GlobalSource,2024-08-25
PROD000077,Product Y9735,Automotive,Accessories,2386.76,3436,ProVendor,2023-05-14
PROD000078,Product U1201,Clothing,Accessories,4324.92,4387,QuickShip,2023-09-09
PROD000079,Product F7958,Clothing,Accessories,4243.08,4830,QuickShip,2023-03-29
PROD000080,Product T3046,Books,Non-Fiction,3363.31,1450,FastGoods,2023-01-22
PROD000081,Product Y110,Books,Comics,797.14,1254,PrimeMfg,2024-09-10
PROD000082,Product K2670,Clothing,Pants,1538.12,1776,TrustCo,2024-03-17
PROD000083,Product I324,Clothing,Accessories,3847.38,2125,MegaDistrib,2023-03-24
PROD000084,Product P4421,Electronics,Phones,2237.6,554,MegaDistrib,2024-07-23
PROD000085,Product V9051,Toys,Action Figures,2575.4,31,PrimeMfg,2023-09-23
PROD000086,Product S2127,Office Supplies,Filing,3110.15,3859,TrustCo,2023-12-31
PROD000087,Product U6694,Sports,Winter,1399.17,4244,FastGoods,2023-05-07
PROD000088,Product T7923,Food & Beverage,Organic,318.17,1372,GlobalSource,2023-03-13
PROD000089,Product E9788,Automotive,Accessories,4865.83,2165,QuickShip,2023-09-02
PROD000090,Product Z8790,Books,Comics,3658.69,4751,PrimeMfg,2023-06-02
PROD000091,Product U594,Health & Beauty,Dental,22.09,3719,NorthSupply,2024-03-16
PROD000092,Product N2007,Clothing,Accessories,597.18,986,GlobalSource,2023-02-09
PROD000093,Product R7842,Health & Beauty,Supplements,1907.88,2766,ProVendor,2024-03-07
PROD000094,Product C7315,Sports,Cycling,1313.18,3137,SupplierOne,2024-11-16
PROD000095,Product H4434,Automotive,Accessories,830.67,40,NorthSupply,2023-10-14
PROD000096,Product Y3105,Home & Garden,Tools,2368.66,4742,FastGoods,2024-01-08
PROD000097,Product N7936,Health & Beauty,Makeup,530.76,4708,SupplierOne,2023-10-28
PROD000098,Product V800,Food & Beverage,Snacks,2026.35,3566,PrimeMfg,2024-01-28
PROD000099,Product C5208,Food & Beverage,Organic,3071.5,4065,QuickShip,2023-03-21
PROD000100,Product B4852,Automotive,Tires,2718.55,680,MegaDistrib,2024-12-19
PROD000101,Product A6202,Toys,Board Games,3603.71,1129,QuickShip,2023-04-23
PROD000102,Product Y7180,Home & Garden,Lighting,710.36,1331,GlobalSource,2023-11-14
PROD000103,Product M1821,Clothing,Pants,1269.68,2900,ProVendor,2024-10-03
PROD000104,Product J788,Books,History,31.55,2246,PrimeMfg,2024-03-28
PROD000105,Product W7312,Health & Beauty,Dental,3556.68,3739,MegaDistrib,2023-01-06
PROD000106,Product N7614,Automotive,Tools,3759.13,412,EastTrade,2024-04-12
PROD000107,Product F5134,Food & Beverage,Snacks,3668.01,917,NorthSupply,2024-07-11
PROD000108,Product U5939,Toys,Board Games,2221.63,4265,TrustCo,2024-02-10
PROD000109,Product A8889,Sports,Water Sports,2295.2,1082,QuickShip,2024-10-16
PROD000110,Product T759,Toys,Educational,3628.25,1788,PrimeMfg,2024-09-20
PROD000111,Product S7675,Office Supplies,Pens,4911.03,4158,MegaDistrib,2024-06-14
PROD000112,Product L6926,Food & Beverage,Snacks,4287.78,748,QuickShip,2023-04-19
PROD000113,Product W152,Clothing,Shirts,1804.17,416,MegaDistrib,2024-02-12
PROD000114,Product Q9154,Automotive,Tools,1484.85,3428,TrustCo,2023-08-11
PROD000115,Product C9581,Food & Beverage,Canned,3197.78,3718,MegaDistrib,2023-02-19
PROD000116,Product O8343,Electronics,Audio,4792.77,3226,FastGoods,2023-07-07
PROD000117,Product N7790,Health & Beauty,Dental,2706.13,4229,TrustCo,2024-03-05
PROD000118,Product B9262,Health & Beauty,Dental,2712.6,2827,EastTrade,2024-01-29
PROD000119,Product T4749,Home & Garden,Kitchen,4812.2,4722,SupplierOne,2023-06-27
PROD000120,Product H7311,Home & Garden,Lighting,2084.42,4269,TrustCo,2024-10-03
PROD000121,Product L8858,Books,Fiction,1918.83,707,FastGoods,2023-01-10
PROD000122,Product E7128,Automotive,Parts,858.88,3427,NorthSupply,2024-11-12
PROD000123,Product Y2796,Food & Beverage,Snacks,1804.1,2064,FastGoods,2023-01-15
PROD000124,Product W9868,Automotive,Accessories,3181.68,4205,EastTrade,2024-08-28
