sensor_id,timestamp,location,temperature,humidity,pressure,battery_pct,alert_flag
SENS000001,2024-10-08 16:53:24,Remote-01,78.46,55.73,1010.27,42.4,0
SENS000002,2024-12-17 23:44:01,Warehouse-2,14.53,63.65,996.09,58.89,0
SENS000003,2024-09-09 17:18:28,Zone-E,24.49,44.28,971.78,53.96,0
SENS000004,2023-12-11 13:55:52,Zone-E,45.99,32.99,1003.64,59.21,0
SENS000005,2024-03-10 20:11:52,Field-North,23.12,84.52,977.01,26.96,0
SENS000006,2023-05-24 09:58:14,Warehouse-1,60.31,18.85,1007.08,91.01,0
SENS000007,2023-02-26 22:54:51,Field-North,28.07,41.19,1008.01,58.02,0
SENS000008,2024-10-23 10:58:42,Field-North,8.3,76.92,990.38,,0
SENS000009,2024-09-28 13:44:05,Zone-B,27.08,44.21,954.44,40.13,0
SENS000010,2024-12-18 06:57:56,Zone-E,70.57,14.5,1047.04,10.04,0
SENS000011,2024-07-23 15:21:03,Warehouse-1,-16.68,82.14,999.08,59.5,1
SENS000012,2024-01-18 07:00:47,Field-North,69.65,22.76,1003.77,96.64,0
SENS000013,2024-12-19 13:55:18,Warehouse-1,13.0,93.25,1013.44,64.7,1
SENS000014,2024-10-03 11:32:29,Zone-A,24.57,20.72,1030.92,5.52,1
SENS000015,2024-09-29 22:01:28,Field-North,17.78,42.89,1005.99,12.3,0
SENS000016,2023-10-29 08:36:38,Warehouse-1,39.81,49.94,1048.7,61.04,0
SENS000017,2023-04-28 13:39:47,Remote-01,4.48,34.39,1049.43,51.08,0
SENS000018,2023-03-29 13:56:41,Warehouse-1,45.98,41.81,1034.96,18.43,0
SENS000019,2023-06-03 02:06:19,Warehouse-1,32.55,76.24,964.55,31.78,0
SENS000020,2023-05-24 06:07:18,Zone-C,58.66,24.69,994.19,76.17,0
SENS000021,2023-02-06 08:35:41,Field-South,-3.23,10.17,986.24,37.58,0
SENS000022,2024-02-19 07:45:24,Field-North,43.61,90.4,1037.14,,1
SENS000023,2023-10-26 16:37:15,Field-South,-1.66,68.84,1018.07,32.12,0
SENS000024,2024-12-22 23:52:28,Zone-C,10.85,68.42,1007.31,16.07,0
SENS000025,2023-05-30 10:58:29,Warehouse-2,56.66,53.27,1006.66,21.59,0
SENS000026,2024-05-08 22:27:49,Zone-C,15.71,11.02,965.68,91.87,0
SENS000027,2023-03-28 17:22:44,Zone-A,-3.7,52.82,956.68,7.16,1
SENS000028,2024-10-24 08:53:48,Zone-E,70.1,34.52,952.19,20.75,0
SENS000029,2024-10-30 03:25:28,Warehouse-2,16.89,63.65,1034.42,58.47,0
SENS000030,2023-11-21 21:42:34,Zone-C,77.52,61.49,1029.63,72.63,0
SENS000031,2024-12-30 20:52:28,Zone-D,90.19,26.94,1016.37,61.98,1
SENS000032,2024-06-01 23:01:41,Warehouse-2,16.97,44.34,951.11,58.17,0
SENS000033,2023-11-22 06:46:53,Zone-A,73.46,66.33,1007.53,82.18,0
SENS000034,2023-02-09 10:35:25,Zone-A,30.69,21.22,988.84,37.03,0
SENS000035,2023-02-06 07:02:39,Remote-01,42.57,11.94,1028.56,80.96,0
SENS000036,2024-08-11 19:02:48,Warehouse-2,9.64,56.76,971.46,96.73,0
SENS000037,2023-11-14 22:37:51,Field-South,57.71,20.23,991.11,97.23,0
SENS000038,2023-12-14 19:31:04,Field-South,14.62,29.58,1022.35,98.35,0
SENS000039,2024-10-04 16:32:51,Warehouse-1,51.81,65.19,1028.12,30.43,0
SENS000040,2024-11-30 23:42:41,Field-South,57.53,15.77,1005.46,28.79,0
SENS000041,2024-10-24 19:47:11,Remote-01,5.27,42.6,998.89,69.95,0
SENS000042,2023-04-20 00:39:06,Field-North,25.3,29.6,1042.36,16.52,0
SENS000043,2023-02-21 23:59:46,Field-North,53.23,10.83,983.83,43.98,0
SENS000044,2023-01-31 12:27:25,Field-South,8.78,56.58,982.41,13.2,0
SENS000045,2024-01-27 12:49:37,Field-South,0.83,75.54,971.37,9.37,1
SENS000046,2024-10-03 04:28:46,Field-North,38.75,61.16,997.89,70.13,0
SENS000047,2023-08-31 04:41:11,Remote-01,57.92,55.12,1047.91,38.23,0
SENS000048,2023-11-21 12:22:16,Zone-E,40.63,19.15,1007.3,62.13,0
SENS000049,2023-08-26 12:27:59,Zone-B,48.53,82.93,983.77,27.76,0
SENS000050,2024-10-16 16:19:14,Zone-E,-6.85,88.32,1028.26,8.26,1
SENS000051,2023-02-08 13:36:36,Zone-A,30.09,36.08,985.71,57.55,0
SENS000052,2023-10-20 18:52:12,Field-South,79.71,93.11,950.15,50.4,1
SENS000053,2023-02-06 21:51:41,Zone-C,70.8,31.96,997.2,95.29,0
SENS000054,2023-04-17 21:27:58,Field-South,33.18,85.07,1019.08,31.06,0
SENS000055,2023-04-26 09:51:28,Zone-A,-9.81,23.42,1004.16,19.01,0
SENS000056,2024-09-29 11:08:16,Zone-B,65.06,47.59,975.01,87.4,0
SENS000057,2024-05-06 22:16:04,Warehouse-2,55.31,16.27,1022.97,56.86,0
